Plate_ID,Plate_Row,Plate_Col,Well_No,Well_ID,% Positive W2 (MultiWaveScoring),Cell: W2 Nucleus Average Intensity (MultiWaveScoring),Total Cells (MultiWaveScoring)
20201215_JM_01,A,1,1,A01,0,0,0
20201215_JM_01,B,1,2,B01,0,0,0
20201215_JM_01,C,1,3,C01,0,0,0
20201215_JM_01,D,1,4,D01,0,0,0
20201215_JM_01,E,1,5,E01,0,0,0
20201215_JM_01,F,1,6,F01,0,0,0
20201215_JM_01,G,1,7,G01,0,0,0
20201215_JM_01,H,1,8,H01,0,0,0
20201215_JM_01,I,1,9,I01,0,0,0
20201215_JM_01,J,1,10,J01,0,0,0
20201215_JM_01,K,1,11,K01,0,0,0
20201215_JM_01,L,1,12,L01,0,0,0
20201215_JM_01,M,1,13,M01,0,0,0
20201215_JM_01,N,1,14,N01,0,0,0
20201215_JM_01,O,1,15,O01,0,0,0
20201215_JM_01,P,1,16,P01,0,0,0
20201215_JM_01,A,2,17,A02,0,0,0
20201215_JM_01,B,2,18,B02,0,0,0
20201215_JM_01,C,2,19,C02,0,0,0
20201215_JM_01,D,2,20,D02,0,0,0
20201215_JM_01,E,2,21,E02,0,0,0
20201215_JM_01,F,2,22,F02,0,0,0
20201215_JM_01,G,2,23,G02,0,0,0
20201215_JM_01,H,2,24,H02,0,0,0
20201215_JM_01,I,2,25,I02,0,0,0
20201215_JM_01,J,2,26,J02,0,0,0
20201215_JM_01,K,2,27,K02,0,0,0
20201215_JM_01,L,2,28,L02,0,0,0
20201215_JM_01,M,2,29,M02,0,0,0
20201215_JM_01,N,2,30,N02,0,0,0
20201215_JM_01,O,2,31,O02,0,0,0
20201215_JM_01,P,2,32,P02,0,0,0
20201215_JM_01,A,3,33,A03,1.388889,618.133471,1008
20201215_JM_01,B,3,34,B03,69.230766,1138.202029,1014
20201215_JM_01,C,3,35,C03,2.833158,666.431575,953
20201215_JM_01,D,3,36,D03,2.07962,680.883329,1683
20201215_JM_01,E,3,37,E03,3.076923,682.120775,1365
20201215_JM_01,F,3,38,F03,1.904762,669.557006,1785
20201215_JM_01,G,3,39,G03,3.335392,690.163918,1619
20201215_JM_01,H,3,40,H03,2.675344,697.564371,1383
20201215_JM_01,I,3,41,I03,3.26609,676.845422,1041
20201215_JM_01,J,3,42,J03,3.543586,711.021172,1411
20201215_JM_01,K,3,43,K03,2.986425,689.61475,1105
20201215_JM_01,L,3,44,L03,2.172601,703.999389,1657
20201215_JM_01,M,3,45,M03,1.885099,678.09332,1114
20201215_JM_01,N,3,46,N03,20.431473,898.436983,788
20201215_JM_01,O,3,47,O03,2.909091,704.817902,1375
20201215_JM_01,P,3,48,P03,0.068446,625.889261,1461
20201215_JM_01,A,4,49,A04,4.419476,703.65085,1335
20201215_JM_01,B,4,50,B04,77.717392,1423.727511,1104
20201215_JM_01,C,4,51,C04,4.28449,684.459424,1167
20201215_JM_01,D,4,52,D04,4.455106,705.252798,1459
20201215_JM_01,E,4,53,E04,1.952141,678.764129,1588
20201215_JM_01,F,4,54,F04,3.195266,685.831602,1690
20201215_JM_01,G,4,55,G04,3.442879,731.438495,1917
20201215_JM_01,H,4,56,H04,3.182686,697.433446,1571
20201215_JM_01,I,4,57,I04,2.699055,697.428704,1482
20201215_JM_01,J,4,58,J04,3.15534,701.533827,1648
20201215_JM_01,K,4,59,K04,5.191434,714.862952,1541
20201215_JM_01,L,4,60,L04,1.971231,706.140244,1877
20201215_JM_01,M,4,61,M04,3.061934,704.546519,1437
20201215_JM_01,N,4,62,N04,18.848759,926.041577,886
20201215_JM_01,O,4,63,O04,10.938511,822.156568,1545
20201215_JM_01,P,4,64,P04,0.195695,542.469332,1533
20201215_JM_01,A,5,65,A05,3.453689,2966.029786,1274
20201215_JM_01,B,5,66,B05,85.224022,1382.176733,1049
20201215_JM_01,C,5,67,C05,4.71597,682.662091,933
20201215_JM_01,D,5,68,D05,3.255814,681.375184,1290
20201215_JM_01,E,5,69,E05,2.323893,671.04634,1377
20201215_JM_01,F,5,70,F05,2.002612,691.137449,2297
20201215_JM_01,G,5,71,G05,3.59147,704.702176,1782
20201215_JM_01,H,5,72,H05,3.421462,696.794509,1286
20201215_JM_01,I,5,73,I05,1.998789,701.314918,1651
20201215_JM_01,J,5,74,J05,3.195876,705.212131,1940
20201215_JM_01,K,5,75,K05,3.949967,707.99978,1519
20201215_JM_01,L,5,76,L05,3.564257,712.896566,1992
20201215_JM_01,M,5,77,M05,2.969562,660.628561,1347
20201215_JM_01,N,5,78,N05,21.148037,817.870889,662
20201215_JM_01,O,5,79,O05,2.427512,681.912301,1483
20201215_JM_01,P,5,80,P05,0.121655,527.64938,1644
20201215_JM_01,A,6,81,A06,3.095388,1242.224195,1583
20201215_JM_01,B,6,82,B06,85.196373,1385.600738,993
20201215_JM_01,C,6,83,C06,3.414097,681.469913,908
20201215_JM_01,D,6,84,D06,2.638522,670.426492,1137
20201215_JM_01,E,6,85,E06,2.539063,688.49243,1536
20201215_JM_01,F,6,86,F06,3.927881,714.173,1553
20201215_JM_01,G,6,87,G06,2.597403,690.763119,1848
20201215_JM_01,H,6,88,H06,3.193613,694.961041,1503
20201215_JM_01,I,6,89,I06,3.769521,711.869822,1857
20201215_JM_01,J,6,90,J06,2.378319,694.823648,1808
20201215_JM_01,K,6,91,K06,3.045685,689.378352,1182
20201215_JM_01,L,6,92,L06,2.318487,674.3494,1639
20201215_JM_01,M,6,93,M06,3.367633,683.114649,1069
20201215_JM_01,N,6,94,N06,28.915663,884.344228,996
20201215_JM_01,O,6,95,O06,2.012384,658.420981,1292
20201215_JM_01,P,6,96,P06,0.298954,534.914147,1338
20201215_JM_01,A,7,97,A07,4.199683,709.605036,1262
20201215_JM_01,B,7,98,B07,77.964859,1464.283377,1366
20201215_JM_01,C,7,99,C07,4.851158,695.923463,907
20201215_JM_01,D,7,100,D07,3.125,675.393292,1216
20201215_JM_01,E,7,101,E07,2.382725,690.1523,1343
20201215_JM_01,F,7,102,F07,1.997005,695.597857,2003
20201215_JM_01,G,7,103,G07,4.060249,697.008917,1527
20201215_JM_01,H,7,104,H07,3.429462,688.557398,1283
20201215_JM_01,I,7,105,I07,3.885135,698.37801,1184
20201215_JM_01,J,7,106,J07,3.656307,711.442011,1641
20201215_JM_01,K,7,107,K07,6.75526,723.272797,903
20201215_JM_01,L,7,108,L07,2.927478,693.417702,1503
20201215_JM_01,M,7,109,M07,4.13845,712.453439,1329
20201215_JM_01,N,7,110,N07,15.707621,804.092999,643
20201215_JM_01,O,7,111,O07,5.225225,719.450062,1110
20201215_JM_01,P,7,112,P07,0.133958,539.30209,1493
20201215_JM_01,A,8,113,A08,0.155039,681.626843,1290
20201215_JM_01,B,8,114,B08,58.101475,1614.640389,611
20201215_JM_01,C,8,115,C08,5.504587,726.354309,654
20201215_JM_01,D,8,116,D08,0.316289,686.854118,1897
20201215_JM_01,E,8,117,E08,2.405063,638.527457,790
20201215_JM_01,F,8,118,F08,1.465969,661.818605,955
20201215_JM_01,G,8,119,G08,1.596517,767.324804,1378
20201215_JM_01,H,8,120,H08,0.993612,691.310986,1409
20201215_JM_01,I,8,121,I08,1.565996,690.739151,1341
20201215_JM_01,J,8,122,J08,0.746269,730.475944,2010
20201215_JM_01,K,8,123,K08,1.749271,731.8304,1372
20201215_JM_01,L,8,124,L08,1.650165,697.773223,1818
20201215_JM_01,M,8,125,M08,4.965517,697.801662,725
20201215_JM_01,N,8,126,N08,52.798664,1475.25321,1197
20201215_JM_01,O,8,127,O08,31.922276,1341.48169,1441
20201215_JM_01,P,8,128,P08,0.107817,578.531286,1855
20201215_JM_01,A,9,129,A09,0.11655,675.987701,1716
20201215_JM_01,B,9,130,B09,56.026058,1565.219641,614
20201215_JM_01,C,9,131,C09,1.694915,671.580804,1652
20201215_JM_01,D,9,132,D09,0.593276,673.999987,1517
20201215_JM_01,E,9,133,E09,1.657941,680.345923,1146
20201215_JM_01,F,9,134,F09,1.600557,657.70665,1437
20201215_JM_01,G,9,135,G09,1.357187,667.613721,1621
20201215_JM_01,H,9,136,H09,1.303681,682.003273,1304
20201215_JM_01,I,9,137,I09,1.676338,680.973926,1551
20201215_JM_01,J,9,138,J09,0.488334,672.13956,1843
20201215_JM_01,K,9,139,K09,1.401584,681.681376,1641
20201215_JM_01,L,9,140,L09,0.694816,666.538606,1871
20201215_JM_01,M,9,141,M09,4.722793,677.08028,974
20201215_JM_01,N,9,142,N09,41.601143,1426.860689,1399
20201215_JM_01,O,9,143,O09,36.764706,1276.681613,1156
20201215_JM_01,P,9,144,P09,0.05685,540.096322,1759
20201215_JM_01,A,10,145,A10,0.315856,678.507363,1583
20201215_JM_01,B,10,146,B10,60.385441,1615.452901,467
20201215_JM_01,C,10,147,C10,5.928085,682.356974,1029
20201215_JM_01,D,10,148,D10,1.138647,677.450833,1493
20201215_JM_01,E,10,149,E10,0.987013,662.853124,1925
20201215_JM_01,F,10,150,F10,0.509731,659.989991,2158
20201215_JM_01,G,10,151,G10,0.130039,678.154437,1538
20201215_JM_01,H,10,152,H10,0.483559,691.493011,2068
20201215_JM_01,I,10,153,I10,0.549666,698.515729,2547
20201215_JM_01,J,10,154,J10,0.20429,677.150357,1958
20201215_JM_01,K,10,155,K10,1.466049,675.596597,1296
20201215_JM_01,L,10,156,L10,1.004184,662.754523,1195
20201215_JM_01,M,10,157,M10,3.396226,689.128362,1060
20201215_JM_01,N,10,158,N10,46.849087,1377.84774,1206
20201215_JM_01,O,10,159,O10,28.580729,1394.360172,1536
20201215_JM_01,P,10,160,P10,0,532.996296,1387
20201215_JM_01,A,11,161,A11,0.116959,690.506594,855
20201215_JM_01,B,11,162,B11,59.329445,1588.680376,686
20201215_JM_01,C,11,163,C11,1.232493,651.543255,1785
20201215_JM_01,D,11,164,D11,1.610306,673.878278,621
20201215_JM_01,E,11,165,E11,0.679117,634.450156,1178
20201215_JM_01,F,11,166,F11,0.819277,671.304988,2075
20201215_JM_01,G,11,167,G11,0.342466,685.267462,1752
20201215_JM_01,H,11,168,H11,1.831502,664.417746,819
20201215_JM_01,I,11,169,I11,1.826484,680.495076,1533
20201215_JM_01,J,11,170,J11,1.505818,658.957191,1461
20201215_JM_01,K,11,171,K11,3.41556,691.475061,1054
20201215_JM_01,L,11,172,L11,1.945525,703.747822,1285
20201215_JM_01,M,11,173,M11,3.244838,694.998349,1017
20201215_JM_01,N,11,174,N11,51.575344,1433.911435,1460
20201215_JM_01,O,11,175,O11,27.625452,1085.108232,1933
20201215_JM_01,P,11,176,P11,0,555.389606,2289
20201215_JM_01,A,12,177,A12,0.229885,730.437799,1740
20201215_JM_01,B,12,178,B12,56.24297,1484.638406,889
20201215_JM_01,C,12,179,C12,2.083333,671.188156,1056
20201215_JM_01,D,12,180,D12,1.055409,697.033107,1516
20201215_JM_01,E,12,181,E12,2.848101,647.069333,948
20201215_JM_01,F,12,182,F12,0.710136,690.236503,1549
20201215_JM_01,G,12,183,G12,1.610825,704.369021,1552
20201215_JM_01,H,12,184,H12,2.186879,684.032239,1006
20201215_JM_01,I,12,185,I12,1.088929,717.954564,1102
20201215_JM_01,J,12,186,J12,0.450789,664.041872,1331
20201215_JM_01,K,12,187,K12,1.208178,703.049117,1076
20201215_JM_01,L,12,188,L12,0.557276,655.251373,1615
20201215_JM_01,M,12,189,M12,7.25552,699.80905,634
20201215_JM_01,N,12,190,N12,49.019608,1477.196252,1071
20201215_JM_01,O,12,191,O12,33.116882,1083.176885,616
20201215_JM_01,P,12,192,P12,0,555.165348,1889
20201215_JM_01,A,13,193,A13,1.531532,938.953416,1110
20201215_JM_01,B,13,194,B13,52.344418,2161.035335,1173
20201215_JM_01,C,13,195,C13,1.536406,1015.383856,1497
20201215_JM_01,D,13,196,D13,2.252747,1030.055495,1820
20201215_JM_01,E,13,197,E13,1.376147,1042.578822,1526
20201215_JM_01,F,13,198,F13,3.236607,1062.596589,1792
20201215_JM_01,G,13,199,G13,3.446389,1075.277324,1828
20201215_JM_01,H,13,200,H13,5.575118,1212.062907,1704
20201215_JM_01,I,13,201,I13,5.584129,1058.81394,1361
20201215_JM_01,J,13,202,J13,2.548656,1056.67505,2158
20201215_JM_01,K,13,203,K13,4.091267,1001.17996,1271
20201215_JM_01,L,13,204,L13,2.247191,984.225111,1602
20201215_JM_01,M,13,205,M13,1.776961,1077.067211,1632
20201215_JM_01,N,13,206,N13,34.422882,1589.806208,1958
20201215_JM_01,O,13,207,O13,3.088326,995.199826,1619
20201215_JM_01,P,13,208,P13,0,692.73842,1644
20201215_JM_01,A,14,209,A14,1.07391,946.950339,1583
20201215_JM_01,B,14,210,B14,52.63768,2282.511221,1725
20201215_JM_01,C,14,211,C14,1.513388,1004.358895,1718
20201215_JM_01,D,14,212,D14,1.870187,994.554824,1818
20201215_JM_01,E,14,213,E14,1.880531,965.965099,1808
20201215_JM_01,F,14,214,F14,1.359927,1036.145713,2206
20201215_JM_01,G,14,215,G14,2.514088,1069.727396,2307
20201215_JM_01,H,14,216,H14,3.625065,1114.642569,1931
20201215_JM_01,I,14,217,I14,2.694859,1154.735711,2412
20201215_JM_01,J,14,218,J14,2.485143,1089.356897,1851
20201215_JM_01,K,14,219,K14,1.710941,1087.621084,2221
20201215_JM_01,L,14,220,L14,1.714286,1002.332214,1750
20201215_JM_01,M,14,221,M14,0.904088,1049.635458,2544
20201215_JM_01,N,14,222,N14,28.310104,1777.610491,2296
20201215_JM_01,O,14,223,O14,4.663992,1132.027165,1994
20201215_JM_01,P,14,224,P14,0,672.569055,2025
20201215_JM_01,A,15,225,A15,0.438596,984.285126,2280
20201215_JM_01,B,15,226,B15,58.651913,2223.352726,994
20201215_JM_01,C,15,227,C15,1.342926,993.118346,2085
20201215_JM_01,D,15,228,D15,1.901408,1023.396023,1420
20201215_JM_01,E,15,229,E15,1.457597,1013.370641,2264
20201215_JM_01,F,15,230,F15,1.210549,1076.251192,2313
20201215_JM_01,G,15,231,G15,1.862828,1076.250751,2362
20201215_JM_01,H,15,232,H15,3.29718,1236.691064,2305
20201215_JM_01,I,15,233,I15,2.443793,1133.488539,2046
20201215_JM_01,J,15,234,J15,2.406015,1095.753192,1995
20201215_JM_01,K,15,235,K15,4.676754,1019.814426,1454
20201215_JM_01,L,15,236,L15,1.206802,987.434778,1823
20201215_JM_01,M,15,237,M15,0.771775,1027.108003,1814
20201215_JM_01,N,15,238,N15,26.514215,1341.88246,1618
20201215_JM_01,O,15,239,O15,12.187659,1167.174403,1961
20201215_JM_01,P,15,240,P15,0,698.729701,1765
20201215_JM_01,A,16,241,A16,0.542823,910.162285,1658
20201215_JM_01,B,16,242,B16,57.632744,2327.503016,904
20201215_JM_01,C,16,243,C16,1.355207,956.03906,1402
20201215_JM_01,D,16,244,D16,1.166019,1026.371313,1801
20201215_JM_01,E,16,245,E16,1.212938,970.785767,2226
20201215_JM_01,F,16,246,F16,2.357564,1006.160875,1527
20201215_JM_01,G,16,247,G16,2.530964,1038.104466,1857
20201215_JM_01,H,16,248,H16,3.846154,1133.225463,1456
20201215_JM_01,I,16,249,I16,3.006407,1210.343303,2029
20201215_JM_01,J,16,250,J16,1.495845,1065.926725,1805
20201215_JM_01,K,16,251,K16,2.674308,997.798213,2094
20201215_JM_01,L,16,252,L16,1.503759,957.294649,1463
20201215_JM_01,M,16,253,M16,0.513699,1040.110292,2336
20201215_JM_01,N,16,254,N16,34.093636,1569.488998,1666
20201215_JM_01,O,16,255,O16,2.572707,1067.467497,1788
20201215_JM_01,P,16,256,P16,0,658.218315,1143
20201215_JM_01,A,17,257,A17,0.938233,978.715182,1279
20201215_JM_01,B,17,258,B17,47.111473,2076.722508,1229
20201215_JM_01,C,17,259,C17,0.679117,961.786795,1767
20201215_JM_01,D,17,260,D17,0.892326,966.369268,1681
20201215_JM_01,E,17,261,E17,1.503307,1003.727188,1663
20201215_JM_01,F,17,262,F17,1.425314,924.029544,1754
20201215_JM_01,G,17,263,G17,2.13205,1064.153855,1454
20201215_JM_01,H,17,264,H17,2.505695,1089.761999,1756
20201215_JM_01,I,17,265,I17,3.103448,1063.493932,1160
20201215_JM_01,J,17,266,J17,2.103681,985.723109,1331
20201215_JM_01,K,17,267,K17,2.545455,995.973278,1375
20201215_JM_01,L,17,268,L17,2.066116,991.875966,1210
20201215_JM_01,M,17,269,M17,1.16408,958.245014,1804
20201215_JM_01,N,17,270,N17,28.62216,1486.696465,1408
20201215_JM_01,O,17,271,O17,1.567398,983.383134,1276
20201215_JM_01,P,17,272,P17,0,687.262809,1779
20201215_JM_01,A,18,273,A18,6.153846,711.050802,520
20201215_JM_01,B,18,274,B18,66.521103,1084.080055,687
20201215_JM_01,C,18,275,C18,14.705882,724.951412,238
20201215_JM_01,D,18,276,D18,23.588709,840.632185,496
20201215_JM_01,E,18,277,E18,18.289085,764.424914,339
20201215_JM_01,F,18,278,F18,9.501187,732.926566,842
20201215_JM_01,G,18,279,G18,10.571428,718.522491,350
20201215_JM_01,H,18,280,H18,13.293052,739.772069,331
20201215_JM_01,I,18,281,I18,13.513514,723.331305,296
20201215_JM_01,J,18,282,J18,5.579399,717.814308,932
20201215_JM_01,K,18,283,K18,9.478673,746.445779,211
20201215_JM_01,L,18,284,L18,5.753425,691.710216,365
20201215_JM_01,M,18,285,M18,13.586957,718.27235,368
20201215_JM_01,N,18,286,N18,74.585632,1350.329773,362
20201215_JM_01,O,18,287,O18,4.986876,715.876476,762
20201215_JM_01,P,18,288,P18,0,539.368804,797
20201215_JM_01,A,19,289,A19,5.792163,689.968794,587
20201215_JM_01,B,19,290,B19,61.435726,1099.388714,599
20201215_JM_01,C,19,291,C19,4.129264,755.004803,1671
20201215_JM_01,D,19,292,D19,12.201591,749.396402,377
20201215_JM_01,E,19,293,E19,15.182186,792.299067,494
20201215_JM_01,F,19,294,F19,8.005618,722.67799,712
20201215_JM_01,G,19,295,G19,11.279826,716.81113,461
20201215_JM_01,H,19,296,H19,17.48634,761.937022,366
20201215_JM_01,I,19,297,I19,4.522613,648.618413,398
20201215_JM_01,J,19,298,J19,3.75,675.768514,720
20201215_JM_01,K,19,299,K19,7.770961,783.488702,489
20201215_JM_01,L,19,300,L19,6.688963,671.41274,598
20201215_JM_01,M,19,301,M19,5.815832,686.691776,619
20201215_JM_01,N,19,302,N19,58.895706,1177.248118,163
20201215_JM_01,O,19,303,O19,5.275779,701.092859,834
20201215_JM_01,P,19,304,P19,0,548.480449,712
20201215_JM_01,A,20,305,A20,12.720157,824.172602,511
20201215_JM_01,B,20,306,B20,68.793343,1129.950531,721
20201215_JM_01,C,20,307,C20,19.135803,774.430287,648
20201215_JM_01,D,20,308,D20,21.09375,822.485697,512
20201215_JM_01,E,20,309,E20,20.32967,808.109819,728
20201215_JM_01,F,20,310,F20,8.779443,742.769576,934
20201215_JM_01,G,20,311,G20,18.568665,758.496276,517
20201215_JM_01,H,20,312,H20,25.423729,822.728884,472
20201215_JM_01,I,20,313,I20,8.490566,715.972106,530
20201215_JM_01,J,20,314,J20,10.930576,734.614976,677
20201215_JM_01,K,20,315,K20,13.656387,916.672149,454
20201215_JM_01,L,20,316,L20,17.245989,755.91298,748
20201215_JM_01,M,20,317,M20,30.168776,848.965155,474
20201215_JM_01,N,20,318,N20,49.565216,1061.669312,230
20201215_JM_01,O,20,319,O20,8.567208,704.128304,677
20201215_JM_01,P,20,320,P20,0,507.561717,757
20201215_JM_01,A,21,321,A21,4.024145,680.44673,497
20201215_JM_01,B,21,322,B21,71.501534,1191.813523,979
20201215_JM_01,C,21,323,C21,6.547619,718.249438,672
20201215_JM_01,D,21,324,D21,12.184874,752.611105,952
20201215_JM_01,E,21,325,E21,11.570248,746.167291,605
20201215_JM_01,F,21,326,F21,13.497823,740.635741,689
20201215_JM_01,G,21,327,G21,4.557641,679.662376,746
20201215_JM_01,H,21,328,H21,17.684887,767.96491,311
20201215_JM_01,I,21,329,I21,5.906313,713.706439,491
20201215_JM_01,J,21,330,J21,7.375271,689.680966,461
20201215_JM_01,K,21,331,K21,4.223744,780.382753,876
20201215_JM_01,L,21,332,L21,7.172131,684.241565,488
20201215_JM_01,M,21,333,M21,9.925558,726.151704,403
20201215_JM_01,N,21,334,N21,41.26984,932.291423,126
20201215_JM_01,O,21,335,O21,5.988858,706.033187,718
20201215_JM_01,P,21,336,P21,0.151286,555.9105,661
20201215_JM_01,A,22,337,A22,3.944125,701.937339,1217
20201215_JM_01,B,22,338,B22,65.737701,4700.322239,610
20201215_JM_01,C,22,339,C22,4.532164,665.943962,684
20201215_JM_01,D,22,340,D22,3.10559,699.799876,1449
20201215_JM_01,E,22,341,E22,7.779349,699.69332,707
20201215_JM_01,F,22,342,F22,5.654008,711.036101,1185
20201215_JM_01,G,22,343,G22,4.886562,670.884076,573
20201215_JM_01,H,22,344,H22,15.315315,761.026268,555
20201215_JM_01,I,22,345,I22,6.003752,712.804439,533
20201215_JM_01,J,22,346,J22,4.245974,663.983663,683
20201215_JM_01,K,22,347,K22,5.384615,731.128996,520
20201215_JM_01,L,22,348,L22,5.707196,669.445042,403
20201215_JM_01,M,22,349,M22,8.910892,729.776427,202
20201215_JM_01,N,22,350,N22,48.780487,892.111857,205
20201215_JM_01,O,22,351,O22,5.540166,664.361716,722
20201215_JM_01,P,22,352,P22,0.091659,542.61527,1091
20201215_JM_01,A,23,353,A23,0,0,0
20201215_JM_01,B,23,354,B23,0,0,0
20201215_JM_01,C,23,355,C23,0,0,0
20201215_JM_01,D,23,356,D23,0,0,0
20201215_JM_01,E,23,357,E23,0,0,0
20201215_JM_01,F,23,358,F23,0,0,0
20201215_JM_01,G,23,359,G23,0,0,0
20201215_JM_01,H,23,360,H23,0,0,0
20201215_JM_01,I,23,361,I23,0,0,0
20201215_JM_01,J,23,362,J23,0,0,0
20201215_JM_01,K,23,363,K23,0,0,0
20201215_JM_01,L,23,364,L23,0,0,0
20201215_JM_01,M,23,365,M23,0,0,0
20201215_JM_01,N,23,366,N23,0,0,0
20201215_JM_01,O,23,367,O23,0,0,0
20201215_JM_01,P,23,368,P23,0,0,0
20201215_JM_01,A,24,369,A24,0,0,0
20201215_JM_01,B,24,370,B24,0,0,0
20201215_JM_01,C,24,371,C24,0,0,0
20201215_JM_01,D,24,372,D24,0,0,0
20201215_JM_01,E,24,373,E24,0,0,0
20201215_JM_01,F,24,374,F24,0,0,0
20201215_JM_01,G,24,375,G24,0,0,0
20201215_JM_01,H,24,376,H24,0,0,0
20201215_JM_01,I,24,377,I24,0,0,0
20201215_JM_01,J,24,378,J24,0,0,0
20201215_JM_01,K,24,379,K24,0,0,0
20201215_JM_01,L,24,380,L24,0,0,0
20201215_JM_01,M,24,381,M24,0,0,0
20201215_JM_01,N,24,382,N24,0,0,0
20201215_JM_01,O,24,383,O24,0,0,0
20201215_JM_01,P,24,384,P24,0,0,0
