Exp_ID	Plate_ID	Date	Plate_Row	Plate_Col	Well_No	Well_ID	Calculated.results..Calc.1..Crosstalk...Crosstalk.correction.where.Label...Glo.US.LUM.384..cps..1..channel.1	Results.for.Glo.US.LUM.384..cps..1....channel.0..CPS.	NA.
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	13	194	B13	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	13	195	C13	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	13	196	D13	640	640	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	13	197	E13	1280	1280	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	13	198	F13	2000	2000	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	13	199	G13	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	13	200	H13	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	13	201	I13	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	13	202	J13	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	13	203	K13	2400	2400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	13	204	L13	1840	1840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	13	205	M13	1320	1320	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	13	206	N13	1760	1760	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	13	207	O13	2360	2360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	13	208	P13	760	760	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	14	209	A14	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	14	210	B14	640	640	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	14	211	C14	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	14	212	D14	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	14	213	E14	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	14	214	F14	1800	1800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	14	215	G14	880	880	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	14	216	H14	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	14	217	I14	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	14	218	J14	1200	1200	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	14	219	K14	1840	1840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	14	220	L14	3320	3320	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	14	221	M14	1840	1840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	14	222	N14	1840	1840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	14	223	O14	1880	1880	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	14	224	P14	4840	4840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	15	225	A15	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	15	226	B15	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	15	227	C15	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	15	228	D15	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	15	229	E15	1240	1240	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	15	230	F15	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	15	231	G15	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	15	232	H15	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	15	233	I15	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	15	234	J15	960	960	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	15	235	K15	8080	8080	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	15	236	L15	5960	5960	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	15	237	M15	1480	1480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	15	238	N15	1800	1800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	15	239	O15	2400	2400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	15	240	P15	2720	2720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	16	241	A16	840	840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	16	242	B16	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	16	243	C16	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	16	244	D16	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	16	245	E16	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	16	246	F16	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	16	247	G16	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	16	248	H16	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	16	249	I16	280	280	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	16	250	J16	880	880	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	16	251	K16	3400	3400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	16	252	L16	3360	3360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	16	253	M16	3160	3160	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	16	254	N16	4040	4040	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	16	255	O16	1800	1800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	16	256	P16	2040	2040	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	17	257	A17	760	760	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	17	258	B17	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	17	259	C17	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	17	260	D17	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	17	261	E17	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	17	262	F17	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	17	263	G17	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	17	264	H17	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	17	265	I17	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	17	266	J17	1000	1000	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	17	267	K17	3080	3080	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	17	268	L17	1560	1560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	17	269	M17	1080	1080	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	17	270	N17	1160	1160	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	17	271	O17	4000	4000	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	17	272	P17	2240	2240	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	18	273	A18	760	760	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	18	274	B18	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	18	275	C18	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	18	276	D18	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	18	277	E18	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	18	278	F18	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	18	279	G18	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	18	280	H18	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	18	281	I18	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	18	282	J18	1200	1200	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	18	283	K18	1440	1440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	18	284	L18	2040	2040	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	18	285	M18	920	920	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	18	286	N18	1880	1880	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	18	287	O18	2400	2400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	18	288	P18	2920	2920	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	19	289	A19	640	640	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	19	290	B19	760	760	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	19	291	C19	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	19	292	D19	640	640	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	19	293	E19	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	19	294	F19	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	19	295	G19	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	19	296	H19	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	19	297	I19	1920	1920	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	19	298	J19	3720	3720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	19	299	K19	2840	2840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	19	300	L19	5120	5120	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	19	301	M19	5440	5440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	19	302	N19	2120	2120	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	19	303	O19	2720	2720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	19	304	P19	2520	2520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	20	305	A20	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	20	306	B20	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	20	307	C20	760	760	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	20	308	D20	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	20	309	E20	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	20	310	F20	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	20	311	G20	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	20	312	H20	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	20	313	I20	1680	1680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	20	314	J20	3520	3520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	20	315	K20	1960	1960	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	20	316	L20	3600	3600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	20	317	M20	1760	1760	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	20	318	N20	2680	2680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	20	319	O20	4080	4080	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	20	320	P20	2600	2600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	21	321	A21	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	21	322	B21	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	21	323	C21	1080	1080	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	21	324	D21	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	21	325	E21	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	21	326	F21	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	21	327	G21	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	21	328	H21	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	21	329	I21	1200	1200	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	21	330	J21	1720	1720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	21	331	K21	3560	3560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	21	332	L21	4520	4520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	21	333	M21	1840	1840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	21	334	N21	2120	2120	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	21	335	O21	2680	2680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	21	336	P21	3520	3520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	22	337	A22	760	760	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	22	338	B22	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	22	339	C22	1400	1400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	22	340	D22	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	22	341	E22	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	22	342	F22	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	22	343	G22	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	22	344	H22	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	22	345	I22	1360	1360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	22	346	J22	1200	1200	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	22	347	K22	3560	3560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	22	348	L22	2800	2800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	22	349	M22	2040	2040	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	22	350	N22	2240	2240	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	22	351	O22	2960	2960	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	22	352	P22	2360	2360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	23	353	A23	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	23	354	B23	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	23	355	C23	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	23	356	D23	880	880	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	23	357	E23	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	23	358	F23	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	23	359	G23	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	23	360	H23	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	23	361	I23	1520	1520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	23	362	J23	3280	3280	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	23	363	K23	1960	1960	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	23	364	L23	2680	2680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	23	365	M23	3720	3720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	23	366	N23	1360	1360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	23	367	O23	960	960	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	23	368	P23	2840	2840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	24	369	A24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	24	370	B24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	24	371	C24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	24	372	D24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	24	373	E24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	24	374	F24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	24	375	G24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	24	376	H24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	24	377	I24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	24	378	J24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	24	379	K24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	24	380	L24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	24	381	M24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	24	382	N24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	24	383	O24	NA	NA	NA
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	24	384	P24	NA	NA	NA
